Date,Time,Plate Number,Image Path
23-06-2026,9:49:11 AM,TG257602,
23-06-2026,10:19:11 AM,TG257602,output/detected_vehicle_20260623_101911.jpg
23-06-2026,3:45:05 PM,TG257602,output/detected_vehicle_20260623_154505.jpg
23-06-2026,3:46:24 PM,TG257602,output/detected_vehicle_20260623_154624.jpg
23-06-2026,3:54:10 PM,TG257602,output/detected_vehicle_20260623_155410.jpg
23-06-2026,4:01:39 PM,55F1,output/detected_vehicle_20260623_160139.jpg
23-06-2026,8:08:56 PM,JLLDTUBHILAITAUINLY40GH5ZO52N44R,output/detected_vehicle_20260623_200856.jpg
23-06-2026,8:09:04 PM,JLLDTUBHILAITAUINLY40GH5ZO52N44R,output/detected_vehicle_20260623_200904.jpg
23-06-2026,8:09:57 PM,UDALIUS08GH5ZO5CACA,output/detected_vehicle_20260623_200957.jpg
23-06-2026,8:13:09 PM,UDALIUS08GH5ZO5CACA,output/detected_vehicle_20260623_201309.jpg
23-06-2026,8:18:56 PM,TG257602,output/detected_vehicle_20260623_201856.jpg
24-06-2026,10:46:59 AM,TG257602,output/detected_vehicle_20260624_104659.jpg
24-06-2026,06:33:57 PM,TG257602,output/detected_vehicle_20260624_183357.jpg
